	簡中(CN)	繁中(TW)	英文(EN)	韓文(KR)	泰文(TH)	越文(VN)	西班牙文(ES)	印尼文(ID)	日文(JP)	印度文(IN)	馬來文(MY)	俄文(RU)	緬甸文(MM)	寮文(LA)	阿拉伯文(AR)	意大利文(IT)	法文(FR)	德文(DE)	葡萄牙文(PT)
WarningTip_18	首领 木星王 参战!!	首領 木星王 參戰!!	The leader, King Jupiter, join the battle!!	지도자 목 성왕이 전투에 동참 !!	ผู้นำคิงจูปิเตอร์ร่วมศึก !!	Thủ lĩnh, King Jupiter, tham gia trận chiến !!	¡¡El líder, el Rey Júpiter, únete a la batalla !!	Pemimpinnya, Raja Jupiter, bergabunglah dalam pertempuran !!	リーダーのジュピター王が戦いに参加!!	नेता, राजा बृहस्पति, लड़ाई में शामिल हों !!	Pemimpinnya, Raja Musytari, sertai pertempuran !!	Лидер, царь Юпитер, присоединяйтесь к битве !!	ခေါင်းဆောင်ဂျူပီတာသည်စစ်ပွဲတွင်ပါဝင်သည်။	ຜູ້ ນຳ, King Jupiter, ເຂົ້າຮ່ວມການສູ້ຮົບ !!	القائد الملك جوبيتر ينضم للمعركة !!	Il leader, Re Giove, unisciti alla battaglia !!	Le chef, le roi Jupiter, rejoignez la bataille !!	Der Anführer, König Jupiter, schließt sich der Schlacht an !!	O líder, Rei Júpiter, junte-se à batalha !!
WarningTip_19	首领 太阳王 参战!!	首領 太陽王 參戰!!	Chief Sun King, join the battle!!	태양 왕 추장 님, 전투에 참여하세요 !!	หัวหน้าซันคิงร่วมศึก !!	Trưởng Tôn Vương, tham gia trận chiến !!	¡¡Jefe Rey Sol, únete a la batalla !!	Kepala Raja Matahari, bergabunglah dalam pertempuran !!	チーフサンキング、バトルに参加!!	मुख्य सूर्य राजा, युद्ध में शामिल हों !!	Ketua Sun King, sertai pertempuran !!	Главный Король-Солнце, присоединяйтесь к битве !!	ကာကွယ်ရေး ဦး စီးချုပ် Sun ကစစ်တိုက်ခြင်းငှါ !!	ຫົວ ໜ້າ Sun King, ເຂົ້າຮ່ວມການສູ້ຮົບ !!	قائد الشمس الملك ، انضم للمعركة !!	Capo Re Sole, unisciti alla battaglia !!	Chef Roi Soleil, rejoignez la bataille !!	Chief Sun King, mach mit!	Chefe Rei do Sol, junte-se à batalha !!
FishType_17	蟹堡王	蟹堡王	Crab King	크랩 킹	ปูคิง	Vua cua	Rey Cangrejo	Raja Kepiting	カニ王	केकड़ा राजा	Raja Ketam	Крабовый король	ကဏန်းဘုရင်	ກະປູຄົນ	ملك السلطعون	Granchio Re	Roi du crabe	Krabbenkönig	Rei caranguejo
FishType_18	木星王	木星王	Jupiter King	목성 왕	จูปิเตอร์คิง	Jupiter King	Rey de Júpiter	Jupiter King	ジュピターキング	बृहस्पति राजा	Raja Musytari	Юпитер Король	ဂျူပီတာဘုရင်	ຈູiterດຄິງ	ملك المشتري	Giove re	Jupiter King	Jupiter King	Rei de júpiter
FishType_19	太阳王	太陽王	Sun King	썬 킹	ซันคิง	vua Mặt Trời	Rey Sol	Raja Matahari	サンキング	सूर्य राजा	Raja Matahari	Король Солнца	နေမင်း	Sun King	ملك الشمس	Re Sole	roi Soleil	Sonnenkönig	Rei Sol
FishType_20	金机车	金機車	Golden Locomotive	황금 기관차	หัวรถจักรสีทอง	Đầu máy vàng	Locomotora dorada	Lokomotif Emas	ゴールデンロコモティブ	गोल्डन लोकोमोटिव	Lokomotif Emas	Золотой Локомотив	ရွှေစက်ခေါင်း	Golden Locomotive	القاطرة الذهبية	Locomotiva d'oro	Locomotive dorée	Goldene Lokomotive	Locomotiva dourada
FishType_21	金战车	金戰車	Golden chariot	황금 전차	รถม้าสีทอง	Cỗ xe vàng	Carro de oro	kereta kencana	ゴールデンチャリオット	स्वर्ण रथ	Kereta emas	Золотая колесница	ရွှေရထား	ລົດມ້າທອງ	عربة ذهبية	Carro d'oro	Char d'or	Goldener Streitwagen	Carruagem dourada
FishType_22	火焰放射	火焰放射	Flame emission	화염 방출	การปล่อยเปลวไฟ	Phát ra ngọn lửa	Emisión de llamas	Emisi api	火炎放射	ज्वाला का उत्सर्जन	Pelepasan api	Эмиссия пламени	မီးလျှံထုတ်လွှတ်မှု	ການປ່ອຍອາຍນໍ້າ	انبعاث اللهب	Emissione di fiamma	Émission de flamme	Flammenemission	Emissão de chama
FishType_23	激光雷射	鐳射雷射	Laser laser	레이저 레이저	เลเซอร์เลเซอร์	Tia laze	Laser laser	Laser laser	レーザーレーザー	लेजर लेजर	Laser laser	Лазерный лазер	လေဆာလေဆာ	ເລເຊີເລເຊີ	ليزر ليزر	Laser laser	Laser laser	Laserlaser	Laser laser
FishType_24	超能核弹	超能核彈	Super nuclear bomb	슈퍼 핵폭탄	ระเบิดนิวเคลียร์สุด ๆ	Siêu bom hạt nhân	Super bomba nuclear	Bom nuklir super	超核爆弾	सुपर परमाणु बम	Bom nuklear super	Супер ядерная бомба	စူပါနျူကလီးယားဗုံး	ລູກລະເບີດນິວເຄຼຍ Super	قنبلة نووية خارقة	Super bomba nucleare	Super bombe nucléaire	Super Atombombe	Super bomba nuclear
FishType_25	吉吉飞碟	吉吉飛碟	Gigi UFO	지지 UFO	จีจี้ยูเอฟโอ	Gigi UFO	OVNI de Gigi	Gigi UFO	ジジUFO	गिगी यूएफओ	Gigi UFO	Джиджи НЛО	Gigi UFO	Gigi UFO	جيجي جسم غامض	Gigi UFO	Gigi UFO	Gigi UFO	Gigi UFO
FishType_26	黄金飞碟	黃金飛碟	Golden flying saucer	황금 비행 접시	จานบินสีทอง	Đĩa bay vàng	Platillo volante dorado	Piring terbang emas	ゴールデンフライングソーサー	गोल्डन फ्लाइंग तश्तरी	Piring terbang keemasan	Золотая летающая тарелка	ရွှေပျံပန်းကန်ပြားပျံ	ເຄື່ອງບິນບິນ ຄຳ	الصحن الطائر الذهبي	Disco volante dorato	Soucoupe volante dorée	Goldene fliegende Untertasse	Disco voador dourado
LotteryType_Small	小吉	小吉	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini	Mini
LotteryType_Mid	中吉	中吉	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor	Minor
LotteryType_Big	大吉	大吉	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi	Maxi
LotteryType_Top	上吉	上吉	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major	Major
LotteryType_Best	上上	上上	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand	Grand
IntroPanelTitle_0	介面说明	介面說明	Interface description	인터페이스 설명	คำอธิบายอินเทอร์เฟซ	Mô tả giao diện	Descripción de la interfaz	Deskripsi antarmuka	インターフェイスの説明	इंटरफ़ेस विवरण	Penerangan antara muka	Описание интерфейса	interface ဖော်ပြချက်	ລາຍລະອຽດຂອງການໂຕ້ຕອບ	وصف الواجهة	Descrizione dell'interfaccia	Description de l'interface	Schnittstellenbeschreibung	Descrição da interface
IntroPanelTitle_1	一般	一般	General	일반 어종	พันธุ์ปลาทั่วไป	Các loài cá nói chung	Especies de peces en general	Spesies ikan umum	一般的な魚種	सामान्य मछली की प्रजातियाँ	Spesies ikan am	Общие виды рыб	အထွေထွေငါးမျိုးစိတ်များ	ຊະນິດປາທົ່ວໄປ	أنواع الأسماك العامة	Specie ittiche generali	Espèces de poissons générales	Allgemeine Fischarten	Espécies gerais de peixes
IntroPanelTitle_2	特殊	特殊	Special	특수 어종	ปลาชนิดพิเศษ	Các loài cá đặc biệt	Especies de peces especiales	Spesies ikan khusus	特別な魚種	मछली की विशेष प्रजातियाँ	Spesies ikan khas	Особые виды рыб	အထူးငါးမျိုးစိတ်များ	ຊະນິດປາພິເສດ	أنواع الأسماك الخاصة	Specie di pesci speciali	Espèces de poissons spéciales	Spezielle Fischarten	Espécies especiais de peixes
FishType_Small	小型	小型	Small	작은 물고기	ปลาเล็ก	Con cá nhỏ	Pez pequeño	Ikan kecil	小魚	छोटी मछली	Ikan kecil	Маленькая рыба	ငါးသေးသေးလေး	ປານ້ອຍ	سمكة صغيرة	Piccolo pesce	Petit poisson	Kleiner Fisch	Peixe pequeno
FishType_Mid	中型	中型	Medium	중간 물고기	ปลาขนาดกลาง	Cá vừa	Pescado mediano	Ikan sedang	ミディアムフィッシュ	मध्यम मछली	Ikan sederhana	Средняя рыба	အလယ်အလတ်ငါး	ປາຂະ ໜາດ ກາງ	سمكة متوسطة	Pesce medio	Poisson moyen	Mittlerer Fisch	Peixe médio
FishType_Big	大型	大型	Large	큰 물고기	ปลาขนาดใหญ่	Cá lớn	Pez grande	Ikan besar	大きな魚	बड़ी मछली	Ikan besar	Большая рыба	ငါးကြီးများ	ປາໃຫຍ່	سمكة كبيرة	Pesce grosso	Gros poisson	Großer Fisch	Peixes grandes
