	簡中(CN)	繁中(TW)	英文(EN)	韓文(KR)	泰文(TH)	越文(VN)	西班牙文(ES)	印尼文(ID)	日文(JP)	印度文(IN)	馬來文(MY)	俄文(RU)	緬甸文(MM)	寮文(LA)	阿拉伯文(AR)	意大利文(IT)	法文(FR)	德文(DE)	葡萄牙文(PT)
ConnectServer_1	进入大厅中...	進入大廳中...	Enter lobby ...	홀에 들어가는 중 ...	เข้าห้องโถง ...	Bước vào hội trường ...	Entrando al pasillo ...	Memasuki aula ...	ホールに入る...	हॉल में प्रवेश कर रहा है ...	Memasuki dewan ...	Вход в зал ...	ခန်းမထဲဝင်နေသည် ...	ກຳ ລັງເຂົ້າຫ້ອງໂຖງ ...	دخول القاعة ...	Entrando nella hall ...	Entrer dans la salle ...	Die Halle betreten ...	Entrando no corredor ...
ConnectServer_2	进入游戏中...	進入遊戲中...	Join game ...	게임에 들어가 ...	เข้าเกม ...	Vào trò chơi ...	Entra en el juego ...	Masuk ke dalam game ...	ゲームに入る...	खेल दर्ज करें ...	Masukkan permainan ...	Заходи в игру...	ဂိမ်းထဲဝင်ပါ ...	ກະລຸນາໃສ່ເກມ ...	أدخل اللعبة ...	Entra nel gioco ...	Entrez dans le jeu ...	Betreten Sie das Spiel ...	Entre no jogo ...
LoadAudio	音效资源载入中...	音效資源載入中...	Loading audio resources...	음향 효과 리소스로드 중 ...	กำลังโหลดทรัพยากรเอฟเฟกต์เสียง ...	Đang tải tài nguyên hiệu ứng âm thanh ...	Cargando recurso de efectos de sonido ...	Pemuatan sumber daya efek suara ...	サウンドエフェクトリソースの読み込み...	ध्वनि प्रभाव संसाधन लोड हो रहा है ...	Memuatkan sumber kesan bunyi ...	Загрузка ресурса звуковых эффектов ...	အသံအကျိုးသက်ရောက်မှုရင်းမြစ်တင်ခြင်း ...	ການໂຫຼດຊັບພະຍາກອນຜົນກະທົບສຽງ ...	تحميل مورد المؤثرات الصوتية ...	Caricamento risorsa effetto sonoro ...	Chargement des ressources d'effets sonores ...	Laden von Soundeffektressourcen ...	Carregando recurso de efeito sonoro ...
MsgTitle_QuitGame	退出游戏	退出遊戲	exit the game	게임 종료	ออกจากเกม	thoát khỏi trò chơi	salir del juego	keluar dari permainan	ゲームを終了します	खेल से बाहर निकलें	keluar dari permainan	выйти из игры	ဂိမ်းမှထွက်ပါ	ອອກຈາກເກມ	الخروج من اللعبة	esci dal gioco	quitter le jeu	Beende das Spiel	saia do jogo
Msg_QuitGame	是否离开游戏	是否離開遊戲	Exit Game?	게임 종료 여부	ไม่ว่าจะออกจากเกม	Có rời khỏi trò chơi hay không	Ya sea para dejar el juego	Apakah akan meninggalkan permainan	ゲームを終了するかどうか	चाहे खेल छोड़ना पड़े	Sama ada untuk meninggalkan permainan	Стоит ли выходить из игры	ဂိမ်းမှထွက်ခွာရန်ရှိမရှိ	ບໍ່ວ່າຈະອອກຈາກເກມ	سواء لمغادرة اللعبة	Se lasciare il gioco	Quitter le jeu	Ob man das Spiel verlässt	Se deve sair do jogo
Msg_BackToLobby	返回大厅?	返回大廳?	Back to Lobby?	로비로 돌아가시겠습니까?	กลับไปที่ล็อบบี้?	Quay lại tiền sảnh?	¿De vuelta al vestíbulo?	Kembali ke lobi?	ロビーに戻りますか？	वापस लॉबी में?	Kembali ke lobi?	Вернуться в вестибюль?	lob ည့်ခန်းပြန်သွားတာလား	ກັບໄປທີ່ຫ້ອງຮັບແຂກ?	العودة إلى اللوبي؟	Di nuovo nella hall?	De retour dans le hall?	Zurück in die Lobby?	Voltar para o saguão?
Msg_MoneyNotEnough	金额不足	金額不足	Insufficient Balance	금액이 부족합니다.	จำนวนเงินไม่เพียงพอ	Số tiền không đủ	Cantidad insuficiente	Jumlah tidak mencukupi	量が足りない	अपर्याप्त राशि	Jumlah tidak mencukupi	Недостаточная сумма	လုံလောက်သောပမာဏ	ຈຳ ນວນທີ່ບໍ່ພຽງພໍ	كمية غير كافية	Importo insufficiente	Montant insuffisant	Unzureichende Menge	Quantidade insuficiente
Msg_ValueError	参数错误 : @	參數錯誤 : @	Value Error : @	매개 변수 오류 : @	ข้อผิดพลาดของพารามิเตอร์: @	Lỗi tham số: @	Error de parametro : @	Kesalahan parameter: @	パラメータエラー：@	पैरामीटर त्रुटि: @	Ralat parameter: @	Ошибка параметра: @	parameter အမှား - @	ພາລາມິເຕີຜິດພາດ: @	خطأ في المعلمة: @	Errore di parametro: @	Erreur de paramètre: @	Parameterfehler: @	Erro de parâmetro: @
Msg_MinBalanceNotEnough	不足最低下注金额	不足最低下注金額	Min balance not enough	최소 베팅 금액이 충분하지 않습니다.	จำนวนเงินเดิมพันขั้นต่ำไม่เพียงพอ	Không đủ số tiền đặt cược tối thiểu	Cantidad de apuesta mínima insuficiente	Jumlah taruhan minimum tidak mencukupi	最小ベット額が不十分	अपर्याप्त न्यूनतम शर्त राशि	Jumlah pertaruhan minimum tidak mencukupi	Недостаточная минимальная сумма ставки	အနည်းဆုံးအလောင်းအစားပမာဏမလုံလောက်ပါ	ຈຳ ນວນການເດີມພັນຂັ້ນຕ່ ຳ ທີ່ບໍ່ພຽງພໍ	الحد الأدنى لمبلغ الرهان غير كافٍ	Importo minimo della puntata insufficiente	Montant de la mise minimum insuffisant	Unzureichender Mindesteinsatz	Quantidade de aposta mínima insuficiente
Text_SpinSettings	旋转设置	旋轉設置	Rotate settings	회전 설정	การตั้งค่าการหมุน	Cài đặt xoay	Ajuste de rotación	Pengaturan rotasi	回転設定	रोटेशन सेटिंग	Tetapan putaran	Настройка вращения	လည်ပတ်ချိန်ညှိခြင်း	ຕັ້ງຫມູນວຽນ	إعداد الدوران	Impostazione della rotazione	Réglage de la rotation	Rotationseinstellung	Configuração de rotação
Text_StartAutoSpin	开始自动旋转	開始自動旋轉	Start automatic spin	자동 회전 시작	เริ่มการหมุนอัตโนมัติ	Bắt đầu xoay tự động	Iniciar la rotación automática	Mulai rotasi otomatis	自動回転を開始します	स्वचालित रोटेशन शुरू करें	Mulakan putaran automatik	Начать автоматическое вращение	အလိုအလျောက်လည်ပတ်မှုစတင်ပါ	ເລີ່ມຕົ້ນການຫມູນວຽນອັດຕະໂນມັດ	بدء التدوير التلقائي	Avvia la rotazione automatica	Démarrer la rotation automatique	Starten Sie die automatische Rotation	Iniciar rotação automática
Text_BetSettings	投注设置	投注設置	Bet settings	베팅 설정	การตั้งค่าการเดิมพัน	Cài đặt cá cược	Configuración de apuestas	Pengaturan taruhan	賭けの設定	सट्टेबाजी सेटिंग्स	Tetapan pertaruhan	Настройки ставок	လောင်းကစားချိန်ညှိချက်များ	ການຕັ້ງຄ່າການພະນັນ	إعدادات الرهان	Impostazioni scommesse	Paramètres de paris	Wetteinstellungen	Configurações de apostas
Text_BetSettings_0	投注大小	投注大小	Bet size	베팅 크기	ขนาดเดิมพัน	Kích thước cược	Tamaño de la apuesta	Ukuran taruhan	ベットサイズ	बेट का आकार	Ukuran taruhan	Размер ставки	အလောင်းအစားအရွယ်အစား	ຂະ ໜາດ ເດີມພັນ	حجم الرهان	Dimensione della scommessa	Taille du pari	Einsatzgröße	Tamanho da aposta
Text_BetSettings_1	投注倍数	投注倍數	Bet multiples	여러 베팅	การเดิมพันหลาย ๆ	Đặt cược nhiều	Apuestas múltiples	Taruhan berganda	複数の賭け	सट्टेबाजी कई	Pertaruhan berganda	Ставки на несколько	အလောင်းအစားမျိုးစုံ	ການພະນັນຫຼາຍ	الرهان المتعدد	Scommesse multiple	Parier multiple	Mehrere Wetten	Apostas múltiplas
Text_BetSettings_2	基础投注	基礎投注	Basic betting	기본 베팅	การเดิมพันขั้นพื้นฐาน	Cược cơ bản	Apuestas básicas	Taruhan dasar	基本的な賭け	बेसिक सट्टेबाजी	Pertaruhan asas	Базовые ставки	အခြေခံလောင်းကစားခြင်း	ການວາງເດີມພັນຂັ້ນພື້ນຖານ	الرهان الأساسي	Scommesse di base	Paris de base	Grundwetten	Apostas básicas
Text_BetSettings_3	投注总额	投注總額	Total Bet	총 베팅	เดิมพันทั้งหมด	Tổng tiền cược	Apuesta total	Taruhan total	トータルベット	कुल शर्त	Jumlah pertaruhan	Общая ставка	စုစုပေါင်းအလောင်းအစား	ການເດີມພັນທັງ ໝົດ	الرهان الكلي	Scommessa totale	Pari total	Gesamteinsatz	Aposta total
Text_MaxBet	最大投注	最大投注	Max Bet	최대 베팅	เดิมพันสูงสุด	Đặt cược tối đa	Apuesta máxima	Taruhan maksimum	最大ベット	अधिकतम शर्त	Pertaruhan maksimum	Максимальная ставка	အများဆုံးလောင်းကစား	ການເດີມພັນສູງສຸດ	الحد الأقصى للرهان	Puntata massima	Pari maximum	Maximaler Einsatz	Aposta máxima
Text_Bet	投注	投注	Bet	베팅하기	วางเดิมพัน	Đặt cược	Hacer una apuesta	Pasang taruhan	賭けをする	एक शर्त रखें	Letakkan pertaruhan	Сделать ставку	အလောင်းအစားလုပ်ပါ	ວາງເດີມພັນ	وضع رهان	Piazza una scommessa	Placer un pari	Eine Wette abgeben	Fazer uma aposta
Text_Win	赢奖	贏獎	Win prize	수상	รับรางวัล	Giành giải thưởng	Ganar premio	Menangkan hadiah	入賞	पुरस्कार जीतें	Menangi hadiah	Выиграть приз	အနိုင်ရ	ລາງວັນຊະນະເລີດ	اربح جائزة	Vinci un premio	Gagner un prix	Preis gewinnen	Ganhar prêmio
Text_Sound	声音	聲音	Sound	소리	เสียง	âm thanh	sonido	suara	音	ध्वनि	suara	звук	အသံ	ສຽງ	صوت	suono	du son	Klang	som
Text_Walllet	钱包	錢包	Wallet	지갑	กระเป๋าสตางค์	ví tiền	billetera	dompet	財布	बटुआ	dompet	кошелек	ပိုက်ဆံအိတ်	ກະເປົາເງິນ	محفظة نقود	portafoglio	portefeuille	Brieftasche	carteira
Text_Odds	赔付表	賠付表	Payment form	지불 테이블	ตารางจ่าย	Bàn thanh toán	Tabla de pagos	Meja pembayaran	ペイテーブル	वेतन तालिका	Jadual pembayaran	Таблица выплат	ငွေပေးချေစားပွဲ	ຈ່າຍໂຕະ	جدول الأجور	Tabella dei pagamenti	Table de paie	Bezahlungstabelle	Mesa de pagamentos
Text_Rule	规则	規則	Rule	규칙	กฎ	qui định	regla	aturan	ルール	नियम	peraturan	правило	စည်းမျဉ်း	ກົດລະບຽບ	قاعدة	regola	règle	Regel	regra
Text_History	历史	歷史	History	역사	ประวัติศาสตร์	lịch sử	historia	sejarah	歴史	इतिहास	sejarah	история	သမိုင်း	ປະຫວັດສາດ	التاريخ	storia	l'histoire	Geschichte	história
Text_Close	关闭	關閉	Close	종료	ปิดตัวลง	tắt	apagar	matikan	シャットダウン	बंद करना	menutup	неисправность	အပြီးပိတ်လိုက်သည်	ປິດ​ເຄື່ອງ	اغلق	spegnimento	fermer	ausschalten	desligar
Text_TitleDate	选择日期范围	選擇日期範圍	Select date range	기간 선택	เลือกช่วงวันที่	Chọn phạm vi ngày	Seleccionar rango de fechas	Pilih rentang tanggal	日付範囲を選択	तिथि सीमा चुनें	Pilih julat tarikh	Выберите диапазон дат	ရက်စွဲအကွာအဝေးကိုရွေးပါ	ເລືອກຊ່ວງວັນທີ	حدد النطاق الزمني	Seleziona l'intervallo di date	Sélectionnez la plage de dates	Datumsbereich auswählen	Selecione o intervalo de datas
Text_TitleCustom	自定	自定	Custom	커스텀	กำหนดเอง	Tập quán	Personalizado	Adat	カスタム	रिवाज	Adat	На заказ	စိတ်တိုင်းကျ	ປະເພນີ	مخصص	Personalizzato	Douane	Benutzerdefiniert	personalizadas
Text_SpinSpeed	旋转速度	旋轉速度	spinning speed	회전 속도	ความเร็วในการปั่น	tốc độ quay	velocidad de giro	kecepatan berputar	回転速度	घूमने की गति	kelajuan berpusing	скорость вращения	ချည်ငင်မြန်နှုန်း	ຄວາມໄວຫມຸນ	سرعة الدوران	velocità di rotazione	vitesse de rotation	Drehgeschwindigkeit	velocidade de rotação
Text_AutoSpin	自动旋转	自動旋轉	Automatic rotation	자동 회전	หมุนอัตโนมัติ	Xoay vòng tự động	Rotación automática	Rotasi otomatis	自動回転	स्वचालित रोटेशन	Putaran automatik	Автоматическое вращение	အလိုအလျောက်လည်ပတ်	ພືດຫມູນວຽນອັດຕະໂນມັດ	دوران تلقائي	Rotazione automatica	Rotation automatique	Automatische Drehung	Rotação automática
SpinSpeed_0	常速	常速	Normal Speed	일반적인 속도	ความเร็วทั่วไป	Tốc độ chung	Velocidad general	Kecepatan umum	一般的な速度	सामान्य गति	Kelajuan am	Общая скорость	အထွေထွေမြန်နှုန်း	ຄວາມໄວທົ່ວໄປ	السرعة العامة	Velocità generale	Vitesse générale	Allgemeine Geschwindigkeit	Velocidade geral
SpinSpeed_1	高速	高速	High Speed	더 빠른 속도	ความเร็วที่สูงขึ้น	Tốc độ cao hơn	Mayor velocidad	Kecepatan lebih tinggi	より高速	उच्च गति	Kelajuan lebih tinggi	Более высокая скорость	မြန်နှုန်းမြင့်	ຄວາມໄວສູງຂື້ນ	سرعة أعلى	Maggiore velocità	Vitesse plus élevée	Höhere Geschwindigkeit	Velocidade mais alta
SpinSpeed_2	极速	極速	Full Speed	매우 빠름	เร็วมาก	Cực nhanh	Extremadamente rápido	Sangat cepat	非常に速い	बहुत ज़्यादा तेज़	Sangat pantas	Очень быстро	အလွန့်အလွန်မြန်	ໄວທີ່ສຸດ	سريع جدا	Estremamente veloce	Extrêmement vite	Extrem schnell	Extremamente rápido
Text_ClickToContinue	点击画面继续	點擊畫面繼續	Click to continue	계속하려면 화면을 클릭하십시오.	คลิกที่หน้าจอเพื่อดำเนินการต่อ	Bấm vào màn hình để tiếp tục	Haga clic en la pantalla para continuar	Klik di layar untuk melanjutkan	画面をクリックして続行します	जारी रखने के लिए स्क्रीन पर क्लिक करें	Klik pada skrin untuk meneruskan	Нажмите на экран, чтобы продолжить	ဆက်လက်လုပ်ဆောင်ရန်ဖန်သားပြင်ပေါ်တွင်နှိပ်ပါ	ກົດທີ່ ໜ້າ ຈໍເພື່ອ ດຳ ເນີນການຕໍ່ໄປ	اضغط على الشاشة للمتابعة	Fare clic sullo schermo per continuare	Cliquez sur l'écran pour continuer	Klicken Sie auf den Bildschirm, um fortzufahren	Clique na tela para continuar
WinTip	贏得 @	贏得 @	Win @	승리 @	ชนะ @	Thắng lợi @	Ganar @	Menang @	勝つ@	प्राप्त @	Dapatkan @	Получить @	ရယူပါ @	ຮັບ @	احصل على @	Ottenere @	Avoir @	Bekommen @	Pegue @
FreeGameTip	剩餘免費旋轉次數：@	剩餘免費旋轉次數：@	Free spins remaining: @	남은 프리 스핀 : @	การหมุนฟรีที่เหลืออยู่: @	Vòng quay miễn phí còn lại: @	Giros gratis restantes: @	Sisa putaran gratis: @	残りのフリースピン：@	शेष खाली समय: @	Sisa masa lapang: @	Оставшееся свободное время: @	ကျန်ရှိနေသေးသောအခမဲ့အချိန်များ - @	ເວລາຫວ່າງທີ່ເຫຼືອ: @	الأوقات المجانية المتبقية: @	Tempo libero rimanente: @	Temps libre restant: @	Verbleibende Freizeit: @	Restantes tempos livres: @
Text_Balance	余额	餘額	Point	밸런스	สมดุล	thăng bằng	equilibrar	keseimbangan	残高	संतुलन	seimbang	баланс	ချိန်ခွင်လျှာ	ດຸ່ນດ່ຽງ	توازن	equilibrio	équilibre	Balance	Saldo
WalletPanelTitleText	带入金额设定	帶入金額設定	Bring in amount setting	반입 금액 설정	นำการตั้งค่าจำนวนเงิน	Mang lại cài đặt số tiền	Traer en ajuste de cantidad	Bawa pengaturan jumlah	金額設定を持ち込む	राशि सेटिंग में लाओ	Bawa tetapan jumlah	Принесите настройку количества	ငွေပမာဏ setting ကိုယူလာပါ	ນຳ ເອົາການຕັ້ງຄ່າ ຈຳ ນວນ	جلب في تحديد المبلغ	Porta l'impostazione della quantità	Apportez le réglage du montant	Mengeneinstellung einbringen	Trazer na configuração de valor
Wallet_0	带入游戏金额	帶入遊戲金額	Bring in the game amount	게임 금액 가져 오기	นำเงินเข้าเกม	Mang lại số tiền trong trò chơi	Trae la cantidad del juego	Membawa jumlah permainan	ゲーム量を持ち込んだ	खेल राशि में लाओ	Bawa jumlah permainan	Внесите в игру сумму	ဂိမ်းငွေပမာဏကိုယူလာပါ	ນຳ ຈຳ ນວນເກມ	جلبت في مبلغ اللعبة	Porta l'importo del gioco	Apportez le montant du jeu	Bringen Sie die Spielmenge ein	Traga o valor do jogo
Wallet_1	设置自动带入	設置自動帶入	Automatic buy	자동 구매 설정	ตั้งค่าการซื้ออัตโนมัติ	Thiết lập mua tự động	Configurar compra automática	Siapkan pembelian otomatis	自動購入を設定する	स्वचालित खरीद सेट करें	Sediakan pembelian automatik	Настроить автоматическую покупку	အလိုအလျောက်ဝယ် set up	ຕັ້ງຄ່າການຊື້ແບບອັດຕະໂນມັດ	قم بإعداد الشراء التلقائي	Imposta l'acquisto automatico	Configurer l'achat automatique	Automatischen Kauf einrichten	Configurar compra automática
Wallet_2	最小金额	最小金額	Min amount	최소 금액	จำนวนเงินขั้นต่ำ	Số tiền tối thiểu	Monto minimo	Jumlah minimal	最小額	न्यूनतम राशि	Jumlah minimum	Минимальная сумма	အနည်းဆုံးပမာဏ	ຈໍານວນຕໍາ່ສຸດທີ່	الحد الأدنى للمبلغ	Quantità minima	Montant minimal	Mindestbetrag	Quantidade mínima
Wallet_3	最大金额	最大金額	Max amount	최대 금액	จำนวนเงินสูงสุด	Số tiền tối đa	Cantidad máxima	Jumlah maksimum	最大金額	अधिकतम राशि	Jumlah maksimum	Максимальная сумма	အများဆုံးပမာဏ	ຈຳ ນວນເງິນສູງສຸດ	الحد الأقصى للمبلغ	Importo massimo	Quantité maximale	Höchstbetrag	Quantia máxima
CoinsPerLine	每条赔付线的硬币	每條賠付線的硬幣	Coins Per Line	페이 라인 당 코인	เหรียญต่อเพย์ไลน์	Số tiền trên mỗi dòng thanh toán	Monedas por línea de pago	Koin per payline	ペイラインあたりのコイン	प्रति पंक्ति के सिक्के	Duit syiling setiap garis gaji	Монеты на линию выплат	လိုင်းနှုန်းတိုင်းအတွက်ဒင်္ဂါးပြား	ຫຼຽນຕໍ່ payline	عملات معدنية لكل payline	Monete per linea di pagamento	Pièces par ligne de paiement	Münzen pro Gewinnlinie	Moedas por linha de pagamento
CoinValue	硬币价值	硬幣價值	Coin Value	코인 가치	มูลค่าเหรียญ	Giá trị đồng tiền	Valor de la moneda	Nilai mata uang	コインバリュー	सिक्केकी कीमत	Nilai duit syiling	Стоимость монеты	ဒင်္ဂါးတန်ဖိုး	ມູນຄ່າຂອງຫຼຽນ	قيمة العملة	Valore della moneta	Valeur de l'argent	Münzwert	Valor da moeda
SkipScreen	跳过萤幕	跳過螢幕	Skip/nScreens	화면 건너 뛰기	ข้ามหน้าจอ	Bỏ qua màn hình	Saltar pantalla	Lewati layar	画面をスキップ	स्क्रीन छोड़ें	Langkau skrin	Пропустить экран	မျက်နှာပြင် Skip	ຂ້າມຈໍ	تخطي الشاشة	Salta schermata	Passer l'écran	Bildschirm überspringen	Pular tela
QuickSpin_1	快速旋转	快速旋轉	Quick/nSpin	빠른 회전	หมุนเร็ว	Quay nhanh	Giro rápido	Putaran cepat	高速スピン	तेज स्पिन	Putaran pantas	Быстрое вращение	အစာရှောင်ခြင်းလည်	ໝຸນ ໄວ	تدور بسرعة	Centrifuga veloce	Rotation rapide	Schnelle Rotation	Giro rápido
QuickSpin_2	快速旋转	快速旋轉	Quick Spin	빠른 회전	หมุนเร็ว	Quay nhanh	Giro rápido	Putaran cepat	高速スピン	तेज स्पिन	Putaran pantas	Быстрое вращение	အစာရှောင်ခြင်းလည်	ໝຸນ ໄວ	تدور بسرعة	Centrifuga veloce	Rotation rapide	Schnelle Rotation	Giro rápido
TurboSpin	极速旋转	極速旋轉	Turbo/nSpin	속도 회전	การหมุนความเร็ว	Tốc độ quay	Rotación de velocidad	Rotasi kecepatan	スピードローテーション	स्पीड रोटेशन	Putaran laju	Скорость вращения	မြန်နှုန်းလည်ပတ်မှု	ການຫມູນວຽນຄວາມໄວ	دوران السرعة	Velocità di rotazione	Vitesse de rotation	Geschwindigkeitsrotation	Rotação de velocidade
AutoplaySettings	自动游戏设置	自動遊戲設置	Autoplay Settings	자동 게임 설정	การตั้งค่าเกมอัตโนมัติ	Cài đặt trò chơi tự động	Configuración automática del juego	Pengaturan permainan otomatis	自動ゲーム設定	स्वचालित गेम सेटिंग्स	Tetapan permainan automatik	Автоматические настройки игры	အလိုအလျောက်ဂိမ်းဆက်တင်များ	ການຕັ້ງຄ່າເກມແບບອັດຕະໂນມັດ	إعدادات اللعبة التلقائية	Impostazioni di gioco automatiche	Paramètres de jeu automatiques	Automatische Spieleinstellungen	Configurações automáticas de jogo
AutoSpinNumber	自动旋转次数	自動旋轉次數	Number of AutoSpins	자동 회전 시간	เวลาหมุนอัตโนมัติ	Thời gian quay tự động	Tiempos de centrifugado automático	Waktu putaran otomatis	自動スピン時間	ऑटो स्पिन समय	Masa putaran automatik	Время автоматического отжима	အလိုအလျောက်လှည့်လည်ကြိမ်	ເວລາ ໝຸນ ອັດຕະໂນມັດ	أوقات الدوران التلقائي	Tempi di rotazione automatici	Temps d'essorage automatique	Automatische Schleuderzeiten	Tempos de giro automático
